"Date","PaperID","Dead","Alive","TotalMos","ExposureDay","Month","RawMortProp"
"21/09/23",13,9,12,21,4,"September",0.428571428571429
"21/09/23",14,10,15,25,4,"September",0.4
"21/09/23",15,8,14,22,4,"September",0.363636363636364
"21/09/23",16,14,10,24,4,"September",0.583333333333333
"21/09/23",17,11,14,25,4,"September",0.44
"21/09/23",18,6,16,22,4,"September",0.272727272727273
"21/09/23",19,6,20,26,4,"September",0.230769230769231
"21/09/23",20,7,16,23,4,"September",0.304347826086957
"21/09/23",21,5,18,23,4,"September",0.217391304347826
"21/09/23",22,14,7,21,4,"September",0.666666666666667
"21/09/23",23,11,15,26,4,"September",0.423076923076923
"21/09/23",24,11,14,25,4,"September",0.44
"21/09/23",25,9,13,22,4,"September",0.409090909090909
"22/09/23",6,9,16,25,5,"September",0.36
"22/09/23",7,10,15,25,5,"September",0.4
"22/09/23",8,10,15,25,5,"September",0.4
"22/09/23",9,9,17,26,5,"September",0.346153846153846
"22/09/23",10,4,20,24,5,"September",0.166666666666667
"22/09/23",11,10,14,24,5,"September",0.416666666666667
"22/09/23",12,13,12,25,5,"September",0.52
"22/09/23",13,11,13,24,5,"September",0.458333333333333
"22/09/23",14,10,15,25,5,"September",0.4
"22/09/23",15,8,16,24,5,"September",0.333333333333333
"22/09/23",16,8,17,25,5,"September",0.32
"22/09/23",17,10,14,24,5,"September",0.416666666666667
"22/09/23",18,10,15,25,5,"September",0.4
"22/09/23",19,10,15,25,5,"September",0.4
"22/09/23",20,8,17,25,5,"September",0.32
"22/09/23",21,8,18,26,5,"September",0.307692307692308
"22/09/23",22,6,19,25,5,"September",0.24
"22/09/23",23,12,12,24,5,"September",0.5
"22/09/23",24,9,16,25,5,"September",0.36
"22/09/23",25,8,18,26,5,"September",0.307692307692308
"25/09/23",7,19,8,27,6,"September",0.703703703703704
"25/09/23",8,11,11,22,6,"September",0.5
"25/09/23",9,5,18,23,6,"September",0.217391304347826
"25/09/23",10,6,16,22,6,"September",0.272727272727273
"25/09/23",11,6,20,26,6,"September",0.230769230769231
"25/09/23",12,13,11,24,6,"September",0.541666666666667
"25/09/23",13,13,10,23,6,"September",0.565217391304348
